date,day_of_week,school_visitors,public_visitors,total_visitors,extra,opening_hours
2017-04-01,sobota,0.0,492.0,492.0,,
2017-04-02,neděle,0.0,277.0,277.0,,
2017-04-03,pondělí,0.0,0.0,0.0,,zavřeno
2017-04-04,úterý,0.0,0.0,0.0,,zavřeno
2017-04-05,středa,0.0,0.0,0.0,,zavřeno
2017-04-06,čtvrtek,0.0,0.0,0.0,,zavřeno
2017-04-07,pátek,24.0,101.0,125.0,,
2017-04-08,sobota,19.0,765.0,784.0,,
2017-04-09,neděle,0.0,313.0,313.0,,
2017-04-10,pondělí,137.0,73.0,210.0,,
2017-04-11,úterý,477.0,158.0,635.0,,
2017-04-12,středa,567.0,211.0,778.0,,
2017-04-13,čtvrtek,0.0,702.0,702.0,,
2017-04-14,pátek,0.0,903.0,903.0,,
2017-04-15,sobota,0.0,1372.0,1372.0,,
2017-04-16,neděle,0.0,1260.0,1260.0,,
2017-04-17,pondělí,0.0,702.0,702.0,,
2017-04-18,úterý,188.0,198.0,386.0,,
2017-04-19,středa,404.0,293.0,697.0,,
2017-04-20,čtvrtek,248.0,274.0,522.0,,
2017-04-21,pátek,156.0,106.0,262.0,,
2017-04-22,sobota,0.0,1680.0,1680.0,,
2017-04-23,neděle,0.0,754.0,754.0,,
2017-04-24,pondělí,219.0,105.0,324.0,,
2017-04-25,úterý,531.0,114.0,645.0,,
2017-04-26,středa,272.0,121.0,393.0,,
2017-04-27,čtvrtek,633.0,208.0,841.0,,
2017-04-28,pátek,532.0,221.0,753.0,,
2017-04-29,sobota,0.0,1263.0,1263.0,,
2017-04-30,neděle,0.0,634.0,634.0,,
2017-05-01,pondělí,0.0,393.0,393.0,,
2017-05-02,úterý,0.0,0.0,0.0,,zavřeno
2017-05-03,středa,0.0,0.0,0.0,,zavřeno
2017-05-04,čtvrtek,0.0,0.0,0.0,,zavřeno
2017-05-05,pátek,136.0,133.0,269.0,,
2017-05-06,sobota,49.0,599.0,648.0,,
