iter	Passed	Remaining
1162	15501	11156
1163	15513	11141
1164	15523	11126
1165	15535	11112
1166	15548	11098
1167	15559	11083
1168	15571	11068
1169	15582	11053
1170	15593	11039
1171	15606	11025
1172	15619	11012
1173	15634	10999
1174	15647	10986
1175	15659	10972
1176	15671	10957
1177	15684	10944
1178	15697	10930
1179	15709	10916
1180	15723	10903
1181	15737	10890
1182	15750	10877
1183	15761	10862
1184	15773	10848
1185	15784	10833
1186	15795	10818
1187	15806	10803
1188	15818	10789
1189	15829	10774
1190	15840	10759
1191	15852	10745
1192	15864	10731
1193	15875	10716
1194	15886	10701
1195	15897	10686
1196	15909	10672
1197	15922	10659
1198	15933	10644
1199	15944	10629
1200	15955	10614
1201	15967	10600
1202	15981	10588
1203	15993	10573
1204	16005	10559
1205	16016	10545
1206	16028	10530
1207	16039	10515
1208	16051	10501
1209	16062	10487
1210	16074	10472
1211	16085	10458
1212	16097	10443
1213	16108	10429
1214	16119	10414
1215	16131	10400
1216	16142	10385
1217	16154	10371
1218	16165	10357
1219	16177	10342
1220	16188	10328
1221	16200	10314
1222	16213	10300
1223	16224	10286
1224	16236	10272
1225	16248	10258
1226	16260	10243
1227	16271	10229
1228	16282	10214
1229	16294	10200
1230	16305	10186
1231	16316	10171
1232	16328	10157
1233	16339	10142
1234	16352	10129
1235	16363	10114
1236	16375	10100
1237	16386	10086
1238	16398	10071
1239	16409	10057
1240	16420	10043
1241	16431	10028
1242	16443	10014
1243	16454	9999
1244	16465	9985
1245	16477	9971
1246	16488	9956
1247	16500	9942
1248	16511	9928
1249	16523	9913
1250	16534	9899
1251	16545	9884
1252	16557	9870
1253	16569	9856
1254	16580	9842
1255	16591	9827
1256	16603	9813
1257	16617	9801
1258	16631	9788
1259	16643	9774
1260	16655	9760
1261	16667	9746
1262	16678	9732
1263	16691	9719
1264	16702	9704
1265	16715	9691
1266	16728	9678
1267	16743	9665
1268	16755	9651
1269	16767	9637
1270	16781	9625
1271	16793	9611
1272	16805	9597
1273	16817	9583
1274	16829	9569
1275	16842	9556
1276	16855	9542
1277	16867	9529
1278	16880	9515
1279	16893	9502
1280	16905	9488
1281	16917	9474
1282	16930	9461
1283	16942	9447
1284	16954	9434
1285	16969	9421
1286	16983	9408
1287	16997	9396
1288	17016	9386
1289	17030	9373
1290	17046	9361
1291	17062	9350
1292	17078	9338
1293	17105	9332
1294	17121	9321
1295	17135	9308
1296	17149	9295
1297	17162	9282
1298	17176	9269
1299	17188	9255
1300	17203	9242
1301	17217	9230
1302	17235	9219
1303	17249	9206
1304	17263	9193
1305	17278	9181
1306	17291	9168
1307	17304	9154
1308	17316	9141
1309	17328	9127
1310	17343	9114
1311	17357	9102
1312	17370	9088
1313	17382	9075
1314	17396	9061
1315	17410	9049
1316	17422	9035
1317	17435	9021
1318	17448	9008
1319	17460	8994
1320	17473	8981
1321	17485	8967
1322	17497	8953
1323	17512	8941
1324	17525	8928
1325	17538	8914
1326	17553	8902
1327	17567	8889
1328	17580	8876
1329	17593	8862
1330	17610	8851
1331	17624	8838
1332	17653	8833
1333	17666	8820
1334	17682	8808
1335	17697	8795
1336	17710	8782
1337	17722	8768
1338	17735	8755
1339	17749	8742
1340	17763	8729
1341	17778	8717
1342	17791	8703
1343	17804	8690
1344	17818	8677
1345	17832	8664
1346	17850	8653
1347	17866	8641
1348	17881	8629
1349	17897	8617
1350	17913	8605
1351	17927	8592
1352	17942	8580
1353	17956	8567
1354	17971	8554
1355	17987	8542
1356	18001	8529
1357	18015	8516
1358	18030	8504
1359	18047	8493
1360	18060	8479
1361	18076	8467
1362	18090	8454
1363	18103	8441
1364	18118	8428
1365	18134	8416
1366	18148	8403
1367	18161	8390
1368	18173	8376
1369	18185	8362
1370	18197	8348
1371	18211	8336
1372	18226	8323
1373	18239	8309
1374	18254	8297
1375	18267	8284
1376	18280	8270
1377	18292	8256
1378	18304	8242
1379	18316	8229
1380	18328	8215
1381	18340	8201
1382	18352	8187
1383	18364	8173
1384	18376	8159
1385	18388	8146
1386	18400	8132
1387	18412	8118
1388	18423	8104
1389	18435	8090
1390	18446	8076
1391	18458	8062
1392	18469	8048
1393	18484	8035
1394	18496	8021
1395	18509	8008
1396	18521	7994
1397	18533	7980
1398	18545	7966
1399	18557	7953
1400	18568	7938
1401	18580	7925
1402	18597	7913
1403	18609	7899
1404	18620	7885
1405	18632	7871
1406	18643	7857
1407	18655	7843
1408	18667	7829
1409	18678	7815
1410	18690	7801
1411	18701	7787
1412	18713	7774
1413	18726	7760
1414	18738	7747
1415	18751	7733
1416	18763	7719
1417	18776	7706
1418	18790	7693
1419	18803	7680
1420	18815	7666
1421	18831	7654
1422	18846	7641
1423	18859	7628
1424	18872	7615
1425	18887	7602
1426	18902	7589
1427	18917	7577
1428	18930	7564
1429	18945	7551
1430	18958	7538
1431	18971	7525
1432	18983	7511
1433	18995	7497
1434	19010	7485
1435	19024	7472
1436	19038	7459
1437	19053	7446
1438	19068	7433
1439	19083	7421
1440	19096	7407
1441	19107	7394
1442	19120	7380
1443	19133	7367
1444	19146	7353
1445	19158	7339
1446	19171	7326
1447	19184	7313
1448	19198	7300
1449	19210	7286
1450	19224	7273
1451	19237	7260
1452	19249	7246
1453	19262	7233
1454	19275	7220
1455	19289	7206
1456	19304	7194
1457	19317	7181
1458	19333	7168
1459	19348	7156
1460	19363	7143
1461	19377	7130
1462	19391	7117
1463	19404	7104
1464	19417	7090
1465	19429	7077
1466	19441	7063
1467	19452	7049
1468	19464	7035
1469	19476	7022
1470	19488	7008
1471	19500	6994
1472	19513	6981
1473	19525	6967
1474	19537	6954
1475	19549	6940
1476	19561	6926
1477	19574	6913
1478	19587	6900
1479	19599	6886
1480	19612	6872
1481	19626	6860
1482	19638	6846
1483	19650	6832
1484	19663	6819
1485	19675	6805
1486	19687	6792
1487	19700	6778
1488	19712	6764
1489	19724	6751
1490	19736	6737
1491	19749	6724
1492	19762	6711
1493	19774	6697
1494	19785	6683
1495	19797	6669
1496	19809	6656
1497	19821	6642
1498	19832	6628
1499	19843	6614
1500	19857	6601
1501	19870	6588
1502	19884	6575
1503	19898	6562
1504	19910	6548
1505	19922	6535
1506	19933	6521
1507	19945	6507
1508	19957	6493
1509	19970	6480
1510	19982	6466
1511	19994	6453
1512	20006	6439
1513	20018	6426
1514	20030	6412
1515	20042	6398
1516	20054	6385
1517	20066	6371
1518	20080	6358
1519	20096	6346
1520	20113	6334
1521	20127	6321
1522	20141	6308
1523	20155	6295
1524	20168	6282
1525	20180	6268
1526	20194	6255
1527	20210	6243
1528	20226	6230
1529	20240	6217
1530	20251	6203
1531	20263	6190
1532	20275	6176
1533	20287	6163
1534	20299	6149
1535	20311	6135
1536	20323	6122
1537	20335	6108
1538	20349	6095
1539	20361	6082
1540	20372	6068
1541	20385	6054
1542	20397	6041
1543	20410	6027
1544	20421	6014
1545	20434	6000
1546	20447	5987
1547	20459	5973
1548	20471	5960
1549	20483	5946
1550	20496	5933
1551	20508	5919
1552	20520	5906
1553	20532	5892
1554	20546	5879
1555	20558	5866
1556	20571	5852
1557	20584	5839
1558	20596	5826
